"","Year","Area","Street","Street.2"
"135",2011,NA,"Moseley Vil. Alcester Rd.",""
"136",2011,NA,"Mosley All Services Club Church Rd. Moseley",""
"137",2011,NA,"Nearlands Close Quinton",""
"138",2011,NA,"New Str.",""
"139",2011,NA,"Northfield High Str.",""
"140",2011,NA,"O S BEHANS HIGHFIELD ROAD BILLESLEY",""
"141",2011,NA,"O S The Junction Mosley Vil.",""
"142",2011,NA,"O S Washwood Heath Rd.",""
"143",2011,NA,"Oakhill Rd. Acocks Gr.",""
"144",2011,NA,"Opp White Hart Lan. Cooks Lan.",""
"145",2011,NA,"Opposite ALDI Stratford Rd.",""
"146",2011,NA,"Outside Java Lounge Alcester Rd.",""
"147",2011,NA,"Outside O Academy Night Club B Ham City Centre",""
"148",2011,NA,"Outside Raven Public House",""
"149",2011,NA,"Packington Ave. Shard End",""
"150",2011,NA,"Pk. Off Hob Moor Rd.",""
"151",2011,NA,"Parkhall Croft",""
"152",2011,NA,"Pear Tree PH",""
"153",2011,NA,"Police Station",""
"154",2011,NA,"Police Station Stechford",""
"155",2011,NA,"Poplar Rd.",""
"156",2011,NA,"Poplar Rd.",""
"157",2011,NA,"Poplar Rd. Solihull",""
"158",2011,NA,"Poplar Rd. Solihull",""
"159",2011,NA,"Preston Rd.",""
"160",2011,NA,"Priory Rd. Hall Gr.",""
"161",2011,NA,"Prospect Rd.",""
"162",2011,NA,"Queenswood Rd.",""
"163",2011,NA,"Rear Of Boots High Str.",""
"164",2011,NA,"REDDINGS LANE TSYLEY",""
"165",2011,NA,"Richmond Primary Care Centre Richmond Rd. Stechford",""
"166",2011,NA,"Ring Rd. Stourbridge",""
"167",2011,NA,"Sainsburys Wawrick Rd.",""
"168",2011,NA,"Sainsburys Alcester Rd. South",""
"169",2011,NA,"Sandford Rd. Moseley",""
"170",2011,NA,"Sarehole Mill",""
"171",2011,NA,"Sedgemere Rd.",""
"172",2011,NA,"Shirley Rd.",""
"173",2011,NA,"SHirley Rd.",""
"174",2011,NA,"Snow Hill",""
"175",2011,NA,"Solihull Lan.",""
"176",2011,NA,"St Mary S Rd. Moseley",""
"177",2011,NA,"St Marys Row",""
"178",2011,NA,"Station Rd.",""
"179",2011,NA,"Station Way Birmingham International Rail Station",""
"180",2011,NA,"Stechford Front Office",""
"181",2011,NA,"Stechford P S",""
"182",2011,NA,"Stechford Retail Pk.",""
"183",2011,NA,"Stonehenge Croft Druids Heath",""
"184",2011,NA,"Stoney Lan.",""
"185",2011,NA,"Stoney Lan.",""
"186",2011,NA,"Stoney Lan.",""
"187",2011,NA,"STRATFORD HEATH SPARK HILL BIRMINGHAM",""
"188",2011,NA,"Stratford Rd.",""
"189",2011,NA,"Stratford Rd.",""
"190",2011,NA,"Stratford Rd.",""
"191",2011,NA,"Stratford Rd. Hall Gr.",""
"192",2011,NA,"Stratford Roads",""
"193",2011,NA,"Stuart Rd. Stechford",""
"194",2011,NA,"Talbort Str.",""
"195",2011,NA,"Taunton Rd.",""
"196",2011,NA,"Tavistock Rd.",""
"197",2011,NA,"The Ave.",""
"198",2011,NA,"The Paer Tree Pub",""
"199",2011,NA,"Trafalger Rd.",""
"200",2011,NA,"Wake Gr. Rd.",""
"201",2011,NA,"Ward End Rd.",""
"202",2011,NA,"Warwick Rd.",""
"203",2011,NA,"Warwick Rd.",""
"204",2011,NA,"Warwick Rd.",""
"205",2011,NA,"Warwick Rd.",""
"206",2011,NA,"Warwick Rd.",""
"207",2011,NA,"Warwick Rd. Tysley",""
"208",2011,NA,"Wash Lan.",""
"209",2011,NA,"Washford Heath Rd.",""
"210",2011,NA,"Washwood Heath Pub",""
"211",2011,NA,"WASHWOOD HEATH RD WASHWOOD HEATH BHAM",""
"212",2011,NA,"Washwood Heath Rd.",""
"213",2011,NA,"Washwood Heath Rd.",""
"214",2011,NA,"Washwood Heath Rd.",""
"215",2011,NA,"Washwood Heath Rd.",""
"216",2011,NA,"Watery Lan. Middleway Birmingham",""
"217",2011,NA,"Wawrick Rd.",""
"218",2011,NA,"Welshfarm Rd. Quinton",""
"219",2011,NA,"Westley Rd.",""
"220",2011,NA,"Westley Rd. Acocks Gr.",""
"221",2011,NA,"White Hart Public House",""
"222",2011,NA,"White Hart Public House",""
"223",2011,NA,"Whiteheart Pub Gressell Lan.",""
"224",2011,NA,"William Hill Bookmakers Washwood Heath Rd.",""
"225",2011,NA,"William Hill Bookmakers Washwood Heath Rd.",""
"226",2011,NA,"William Hill Washwood Heath Rd.",""
"227",2011,NA,"Windward Rd.",""
"228",2011,NA,"Windward Rd.",""
"229",2011,NA,"Wood End Rd. Erdington",""
"230",2011,NA,"Woodbridge Rd. Moseley",""
"231",2011,NA,"Wright Str.",""
"232",2011,NA,"Yardley Gr. Rd.",""
"233",2011,NA,"Yardley Rd. Acocks Gr.",""
"234",2011,NA,"Yardley Wood Rd.",""
"235",2011,NA,"Yardley Wood Rd.",""
"236",2011,NA,"Yew Tree Car Pk.",""
"237",2011,NA,"Yew Tree Lan.",""
"238",2011,NA,"Yew Tree Public House Car Pk.",""
"239",2011,NA,"Armada Pub Slade Rd. Erdington Birmingham",""
"240",2011,NA,"Armarda Pub Gravelly Hill",""
"241",2011,NA,"Armarda Pub Gravelly Hill",""
"242",2011,NA,"BADGERS BANK ROAD",""
"243",2011,NA,"Baldmoor Lake Rd. Erdington Birmingham",""
"244",2011,NA,"Bandywood Rd Kingstanding",""
"245",2011,NA,"Beckenham Rd.",""
"246",2011,NA,"Beeches Walk",""
"247",2011,NA,"BIRMINGHAM RD",""
"248",2011,NA,"BIRMINGHAM RD",""
"249",2011,NA,"Birmingham Rd SC",""
"250",2011,NA,"Birmingham Rd.",""
"251",2011,NA,"Birmingham Rd.",""
"252",2011,NA,"Birmingham Rd. Sutton",""
"253",2011,NA,"Birmingham Rd. Erdington",""
"254",2011,NA,"Birmingham Rd. Sutton Coldfield",""
"255",2011,NA,"Birmingham Rd. Sutton Coldfield",""
"256",2011,NA,"BOWLING GREEN CLOSE",""
"257",2011,NA,"Bracebridge Rd. Erdington",""
"258",2011,NA,"Brassington Ave.",""
"259",2011,NA,"Bromford Lan.",""
"260",2011,NA,"Bromford Lan. Erdington B Ham",""
"261",2011,NA,"Brookvale Pk. Rd.",""
"262",2011,NA,"Carhampton Rd. Falcon Lodge Sutton Colfield",""
"263",2011,NA,"Carshalton Rd.",""
"264",2011,NA,"Carshorlton Rd.",""
"265",2011,NA,"Chester Rd",""
"266",2011,NA,"CHESTER ROAD",""
"267",2011,NA,"Chester Rd. Halls Garden Centre",""
"268",2011,NA,"CHURCH RD AT CHESTER RD",""
"269",2011,NA,"College Rd. Kingstanding B Ham",""
"270",2011,NA,"College Rd. Kingstanding B Ham",""
"271",2011,NA,"Copshill Court Mount View Sutton Coldfield",""
"272",2011,NA,"Dovedale Rd. Erdington B Ham",""
"273",2011,NA,"Downside Rd. Erdington B Ham",""
"274",2011,NA,"Eachelhurt Rd. Erdington",""
"275",2011,NA,"ERDINGTON HALL ROAD",""
"276",2011,NA,"ERDINGTON HALL ROAD",""
"277",2011,NA,"Erdington High Str.",""
"278",2011,NA,"Fentham Rd. Erdington B Ham",""
"279",2011,NA,"FINCHLEY ROAD",""
"280",2011,NA,"Finchley Rd. Kingstanding B Ham",""
"281",2011,NA,"GEORGE FREDERICK ROAD",""
"282",2011,NA,"Golden Pond Take Away Boldmere Rd.",""
"283",2011,NA,"Good Hope Hosp.",""
"284",2011,NA,"Gracechurch Centre",""
"285",2011,NA,"Gracechurch Centre Outside Supercigs",""
"286",2011,NA,"GraceChurch Shopping Centre Sutton Coldfield",""
"287",2011,NA,"Grassed Area Pype Hayes Pk.",""
"288",2011,NA,"Gravelley Lan.",""
"289",2011,NA,"Gravelley Lan.",""
"290",2011,NA,"Gravelley Lan.",""
"291",2011,NA,"Gravelly Lan. Erdington Birmingham",""
"292",2011,NA,"Hairy Lemon Pub Sutton Coldfield",""
"293",2011,NA,"Hairy Lemon Pub Sutton Coldfield",""
"294",2011,NA,"Hermatige Rd.",""
"295",2011,NA,"Hermatige Rd.",""
"296",2011,NA,"HERMITAGE DRIVE",""
"297",2011,NA,"High Str.",""
"298",2011,NA,"High Str. Erdington",""
"299",2011,NA,"High Str. Erdington",""
"300",2011,NA,"High Str. Erdington",""
"301",2011,NA,"High Str. S C",""
"302",2011,NA,"High Str. S C",""
"303",2011,NA,"Hight St ErdINGTON",""
"304",2011,NA,"HUNTON HILL",""
"305",2011,NA,"KFC Retail Outlet Erdington High Str.",""
"306",2011,NA,"Kingsbury Rd. Erdington B Ham",""
"307",2011,NA,"Kingstanding Cr.",""
"308",2011,NA,"Ladywell Walk Birmingham",""
"309",2011,NA,"Landsdown Rd.",""
"310",2011,NA,"LICHFIELD ROAD MERE GREEN",""
"311",2011,NA,"LICHFIELD ROAD SUTTON COLDFIELD",""
"312",2011,NA,"Lindridge Rd. Sutton Coldfield",""
"313",2011,NA,"Little Aston Lan.",""
"314",2011,NA,"LONGFORD ROAD",""
"315",2011,NA,"Longford Rd. Kingstanding B Ham",""
"316",2011,NA,"Lower Parade",""
"317",2011,NA,"LOWER PARADE",""
"318",2011,NA,"Lower Parade",""
"319",2011,NA,"Lower Parade",""
"320",2011,NA,"Lower Parade",""
"321",2011,NA,"Lower Parade",""
"322",2011,NA,"LOWER PARADE",""
"323",2011,NA,"Lower Parade",""
"324",2011,NA,"Lower Parade",""
"325",2011,NA,"LOWER PARADE",""
"326",2011,NA,"Lower Parade",""
"327",2011,NA,"LOWER PARADE",""
"328",2011,NA,"Lower Parade",""
"329",2011,NA,"LOWER PARADE",""
"330",2011,NA,"LOWER PARADE",""
"331",2011,NA,"Lower Parade",""
"332",2011,NA,"Lower Parade",""
"333",2011,NA,"Lower Parade",""
"334",2011,NA,"LOWER PARADE",""
"335",2011,NA,"Lower Parade SC",""
"336",2011,NA,"LOWER PARADE SUTTON",""
"337",2011,NA,"Lower Parade Sutton Coldfield",""
"338",2011,NA,"Lower Parade",""
"339",2011,NA,"Lower Parade Suton Coldfield",""
"340",2011,NA,"Lower Parade Sutton Coldfield",""
"341",2011,NA,"Lower Parade Sutton Coldfield",""
"342",2011,NA,"Lower Parade Sutton Coldfield",""
"343",2011,NA,"Lower Parade Sutton Coldfield",""
"344",2011,NA,"Lower Parade Sutton Coldfield",""
"345",2011,NA,"Lower Parade Sutton Coldfield",""
"346",2011,NA,"Lower Parade Sutton Coldfield",""
"347",2011,NA,"Lower Parade Sutton Coldfield",""
"348",2011,NA,"Lower Parade Sutton Coldfield",""
"349",2011,NA,"Lower Parade Sutton Coldfield",""
"350",2011,NA,"Lower Parade Sutton Coldfield",""
"351",2011,NA,"Lower Parade Sutton Coldfield",""
"352",2011,NA,"Lower Parade Sutton Coldfield",""
"353",2011,NA,"Lower Parade Sutton Coldfield",""
"354",2011,NA,"Lower Parade Sutton Coldfield",""
"355",2011,NA,"Lower Parade Sutton Coldfield Town Centre",""
"356",2011,NA,"Lower Parade Sutton Coldfield Town Centre",""
"357",2011,NA,"Lower Parade Sutton Coldfield",""
"358",2011,NA,"Lydham Close",""
"359",2011,NA,"Mill Str.",""
"360",2011,NA,"Mill Str. Sutton Coldfield",""
"361",2011,NA,"Moor Hall Hotel",""
"362",2011,NA,"Mulberry Court Carpark Kings Rd. Kingstanding Birmingham",""
"363",2011,NA,"Newhall Walk Car Pk.",""
"364",2011,NA,"Newhall Walk Car Pk.",""
"365",2011,NA,"O S H A",""
"366",2011,NA,"O S Litten Tree",""
"367",2011,NA,"O S Litten Tree S C Town Centre",""
"368",2011,NA,"O S MooMoo Bar S C Town Centre",""
"369",2011,NA,"O S Moomoo Bar South Parade",""
"370",2011,NA,"O S Retro",""
"371",2011,NA,"O S Retro South Parade",""
"372",2011,NA,"O S Retros",""
"373",2011,NA,"O S Royal Hotel Lichfield Rd.",""
"374",2011,NA,"O S Temple Bar",""
"375",2011,NA,"O S Temple Bar",""
"376",2011,NA,"O S Temple Bar High Str.",""
"377",2011,NA,"O S Temple Bar Lower Parade Sutton Coldfield",""
"378",2011,NA,"O S Temple Bar S C Town Centre",""
"379",2011,NA,"O S Temple Bar Sutton Coldfield West Milands",""
"380",2011,NA,"O S The Hairy Lemon",""
"381",2011,NA,"On Pavement Outside The Royal Hotel",""
"382",2011,NA,"Ourtside Royal Pub Lichfield Rd. Sutton Coldfield",""
"383",2011,NA,"Outside Glendale Tower Lyndhurst Estate",""
"384",2011,NA,"Outside Litten Tree Pub Birmingham Rd. Sutton Coldfield",""
"385",2011,NA,"Outside Moo Moo Club Town Centre Sutton Coldfield",""
"386",2011,NA,"Outside Moo Moo Night Club South Parade",""
"387",2011,NA,"Outside Temple Parade Lower Parade",""
"388",2011,NA,"Outside The Temple Bar Lower Parade SC",""
"389",2011,NA,"PARADE SUTTON COLDFIELD",""
"390",2011,NA,"Parade SC",""
"391",2011,NA,"Parade Sutton Coldfield",""
"392",2011,NA,"Parade Sutton Coldfield",""
"393",2011,NA,"PARADE SUTTON COLDFIELD",""
"394",2011,NA,"Parade Sutton Town",""
"395",2011,NA,"Parade Sutton Coldfield",""
"396",2011,NA,"Parade Sutton Coldfield",""
"397",2011,NA,"Parade Sutton Town Centre",""
"398",2011,NA,"Parkeston Crescent Kinsgatnding B Ham",""
"399",2011,NA,"PLANTS GROVE ERDINGTON",""
"400",2011,NA,"Pype Hayes Rd. Pype Hayes B Ham",""
"401",2011,NA,"Pype Hayes Rd. Pype Hayes B Ham",""
"402",2011,NA,"Pype Hayes Rd. Pype Hayes B Ham",""
"403",2011,NA,"Queen Str.",""
"404",2011,NA,"Queen Str.",""
"405",2011,NA,"Queen Str.",""
"406",2011,NA,"Queen Str.",""
"407",2011,NA,"Queen Str. Sutton Coldfield Town Centre",""
"408",2011,NA,"Queslett Rd. East",""
"409",2011,NA,"REDACRE RD BOLDMERE",""
"410",2011,NA,"RESERVOIR ROAD",""
"411",2011,NA,"Ridgeway",""
"412",2011,NA,"Slade Rd. Erdington B Ham",""
"413",2011,NA,"Slade Rd. Erdington B Ham",""
"414",2011,NA,"Soth Parade Sutton Coldfield",""
"415",2011,NA,"Soth Parade Sutton Coldfield",""
"416",2011,NA,"South Parade",""
"417",2011,NA,"SOUTH PARADE",""
"418",2011,NA,"SOUTH PARADE",""
"419",2011,NA,"South Parade",""
"420",2011,NA,"South Parade",""
"421",2011,NA,"South Parade",""
"422",2011,NA,"South Parade",""
"423",2011,NA,"SOUTH PARADE",""
"424",2011,NA,"South Parade",""
"425",2011,NA,"South Parade",""
"426",2011,NA,"South Parade",""
"427",2011,NA,"South Parade",""
"428",2011,NA,"South Parade Town Centre Sutton Coldfield",""
"429",2011,NA,"South Parade Sutton Coldfield",""
"430",2011,NA,"South Parade Sutton Coldfield",""
"431",2011,NA,"South Parade Sutton Town Centre",""
"432",2011,NA,"South Parade Sutton Coldfield",""
"433",2011,NA,"South Parade Sutton Coldfield",""
"434",2011,NA,"South Parade Sutton Coldfield",""
"435",2011,NA,"South Parade Sutton Coldfield",""
"436",2011,NA,"South Parade Sutton Coldfield",""
"437",2011,NA,"South Parade Sutton Coldfield",""
"438",2011,NA,"South Parade Sutton Coldfield",""
"439",2011,NA,"South Parade Sutton Coldfield",""
"440",2011,NA,"South Parade Sutton Coldfield",""
"441",2011,NA,"South Parade Sutton Coldfield",""
"442",2011,NA,"South Parade Sutton Coldfield",""
"443",2011,NA,"South Parade Sutton Town Centre",""
"444",2011,NA,"South Parade Town Centre Sutton Coldfield",""
"445",2011,NA,"STORNAWAY ROAD CASTLE VALE",""
"446",2011,NA,"STREETLEY ROAD ERDINGTON",""
"447",2011,NA,"Sumburgh Croft",""
"448",2011,NA,"Sutton Coldfield Town Centre",""
"449",2011,NA,"Sutton Coldfield Town Centre",""
"450",2011,NA,"Sutton New Rd.",""
"451",2011,NA,"Sutton New Rd. Erdington",""
"452",2011,NA,"SUTTON NEW ROAD ERDINGTON",""
"453",2011,NA,"SUTTON NEW ROAD ERDINGTON",""
"454",2011,NA,"Sutton New Rd. Erdington B Ham",""
"455",2011,NA,"Sutton Parade",""
"456",2011,NA,"SUTTON PARADE",""
"457",2011,NA,"Sutton Parade",""
